"Qty";"Value";"Device";"Package";"Parts";"Description";"CAP";"COMPTYPE";"DATASHEETURL";"DCR";"ESR";"IDC";"IO";"IRMS";"L";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MOUNTTYPE";"PACKAGEREFERENCE";"PARTNUMBER";"PIN_COUNT";"POWER";"PROD_ID";"REFDES";"RESISTANCE";"ROHS";"TOLERANCE";"TYPE";"VALUE";"VDC";"VENDOR";"VFATIO";"VRRM";
"2";"";"CAPACITOR-POLARIZED";"CAP-6.5X18MM";"C1, C4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6";"";"DIODESMA";"SMA-DIODE";"D1, D3, D4, D5, D6, D7";"Diode";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"DIODESOD123";"SOD-123";"D14";"Diode";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"M01PTH";"1X01";"J1";"Header 1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"";"M02PTH";"1X02";"J2";"Standard 2-pin 0.1" header. Use with";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"RESISTOR0603";"0603-RES";"R22, R23";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"";"RESISTOROHMITE";"OHMITE_FCSL64_CURRENT_SENSE_RESISTOR";"R2, R3";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"0.22uF";"CAPACITOR0805";"0808-CAP";"U$15, U$16, U$17";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"04-JST-B4B-XH-A";"04-JST-B4B-XH-A";"B4B-XH";"X2, X4";"JST CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"05-JST-B5B-XH-A";"05-JST-B5B-XH-A";"B5B-XH";"X1, X7";"JST CONNECTOR";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"0R";"RESISTOR0603";"0603-RES";"R1";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"100nF";"GRM188R72A104KA35D";"0603";"CBOOT";"";"1.0E-7";"";"";"";"0.0";"";"";"0.0";"";"";"MuRata";"GRM188R72A104KA35D";"";"";"";"";"";"";"";"";"";"";"";"";"100.0";"MuRata";"";"";
"1";"10uF";"CAPACITOR0805";"0808-CAP";"U$4";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"2.2uF";"C3225X7R2A225K230AB";"1210";"CIN";"";"2.2E-6";"";"http://product.tdk.com/capacitor/mlcc/en/documents/mlcc%5Fcommercial%5Fmidvoltage%5Fen.pdf";"";"0.0028";"";"";"9.824718";"";"";"TDK";"C3225X7R2A225K230AB";"";"";"";"";"";"";"";"";"";"";"";"";"100.0";"TDK";"";"";
"3";"20k";"RESISTOR0402";"0402-RES";"R19, R20, R21";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6";"33";"RESISTOR0402";"0402-RES";"R7, R8, R9, R10, R11, R12";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"4.7";"RESISTOR0402";"0402-RES";"R13, R14, R15";"Resistor";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"4.7uF";"GRM21BR61E475MA12L";"0805";"COUT";"";"4.7E-6";"";"http://www.murata.com/products/catalog/pdf/c02e.pdf";"";"0.0020";"";"";"7.29";"";"";"MuRata";"GRM21BR61E475MA12L";"";"";"";"";"";"";"";"";"";"";"";"";"25.0";"MuRata";"";"";
"1";"470pF";"CAPACITOR0603-CAP";"0603-CAP";"U$5";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"6.04k";"CRCW04026K04FKED";"0402";"RFBB";"";"";"";"";"";"";"";"";"";"";"";"Vishay-Dale";"CRCW04026K04FKED";"";"";"";"";"0.063";"";"";"6040.0";"";"1.0";"";"";"";"Vishay-Dale";"";"";
